Date,# of Stocks Up >4%  on high volume,# of stocks down >4%  on high volume,Oscillator % ratio,Primary Indicator,# of stocks up >25% in a quarter,# of stocks down >25% in a quarter,Oscillator % ratio,Secondary Indicators,# of stocks up >50% in a month,# of stocks down >50% in a month,,# of stocks up >25% in a month,# of stocks down >25% in a month,,# of stocks up >100% in a year,# of stocks up >200% in a year,,MM 34/13 +,MM 34/13 -,,,# of stocks in Worden Database
,300 plus significant,300 plus significant,,,Levels below 200 bullish,Levels below 200 bearish,,,"Bullish=<3, bearish>=20",bullish>=20,,"Ratio>1  bullish, Ratio<1  bearish",,,Bullish<100,Bearish>300,,Green Bullish,Red Bearish,,,
7/29,759,140,69,,998,1118,-6,,11,7,,220,136,,,,,1871,1686,,,
7/28,64,382,-71,,747,1283,-26,,5,11,,100,149,,,,,1478,2067,,,
7/25,187,110,26,,960,1156,-9,,8,10,,122,126,,169,42,,1836,1892,,,
7/24,91,445,-66,,897,1225,-15,,7,10,,69,186,,146,35,,1694,2028,,,
7/23,403,270,20,,1113,1016,5,,17,5,,114,123,,,,,2105,1871,,,
7/22,829,195,62,,1018,1025,0,,12,4,,89,128,,,43,,1944,1973,,,
7/21,248,80,51,,805,1175,-19,,4,6,,38,169,,197,48,,1466,2258,,,
7/18,131,106,11,,764,1239,-24,,2,10,,28,246,,166,40,,1370,2401,,,
7/17,564,206,46,,769,1220,-23,,1,12,,35,226,,177,44,,1454,2484,,,
7/16,649,87,76,,667,1337,-33,,1,19,,20,332,,186,47,,1061,2717,,,
7/15,184,446,-42,,519,1624,-52,,2,30,,32,552,,179,43,,,,,,
7/14,115,346,-50,,553,1559,-48,,3,30,,31,446,,,,,,,,,
7/11,180,243,-15,,571,1441,-43,,2,20,,29,325,,,,,,,,,
7/10,223,226,-1,,544,1434,-45,,4,14,,24,288,,181,42,,,,,,
7/9,74,286,-59,,492,1477,-50,,1,14,,17,380,,,,,,,,,
