Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
API;Technology;Software - Application;Bidback;Continuation;24.01.25;5,13 €;4,83 €;4,75 €;5,23 €;4,73 €;5,28 €;5,78 €;5,20 €;5,95 €;6,05 €;5,55 €;6,09 €;5,59 €;5,36 €;5,99 €;9,01;-5,85%;1,95%;12,67%;17,93%;8,97%
BRBR;Consumer Defensive;Packaged Food;Bidback;Continuation;27.01.25;78,15 €;78,15 €;77,99 €;78,30 €;78,00 €;79,19 €;79,39 €;78,90 €;80,67 €;77,35 €;77,30 €;79,19 €;;;;9,01;0,00%;0,19%;1,59%;-1,02%;-100,00%
EXC;Utilities;Regulated Electric;Bidback;Continuation;27.01.25;40,16 €;39,81 €;39,71 €;39,57 €;39,47 €;40,15 €;40,02 €;39,83 €;40,25 €;40,00 €;39,89 €;40,23 €;40,57 €;39,67 €;40,76 €;9,01;-0,87%;-1,47%;-0,35%;-0,40%;1,02%
EVER;Technology;Internet Content & Information;Bidback;Bottom Bounce;27.01.25;20,20 €;20,35 €;19,86 €;20,47 €;19,77 €;20,50 €;20,81 €;20,67 €;21,41 €;20,20 €;19,97 €;21,08 €;20,09 €;19,28 €;20,27 €;9,01;0,74%;1,34%;3,02%;0,00%;-0,54%
NRDS;Technology;Internet Content & Information;Bidback;Consolidation;27.01.25;14,54 €;15,15 €;14,41 €;14,62 €;14,27 €;15,04 €;15,00 €;14,65 €;15,04 €;14,28 €;14,17 €;15,03 €;14,09 €;13,73 €;14,33 €;9,01;4,20%;0,55%;3,16%;-1,79%;-3,09%
AHCO;Healthcare;Medical Devices;Bidback;Continuation;27.01.25;10,77 €;10,68 €;10,67 €;10,63 €;10,57 €;10,74 €;10,71 €;10,63 €;10,93 €;10,82 €;10,62 €;10,91 €;10,24 €;10,12 €;10,78 €;9,01;-0,84%;-1,30%;-0,56%;0,46%;-4,92%
NTNX;Technology;Software - Infrastructure;Bidback;Consolidation;28.01.25;67,06 €;67,76 €;66,78 €;68,01 €;66,36 €;68,01 €;68,76 €;68,08 €;69,98 €;68,77 €;66,70 €;69,70 €;70,94 €;69,13 €;71,01 €;13,58;1,04%;1,42%;2,54%;2,55%;5,79%
GTLB;Technology;Software - Infrastructure;Bidback;Continuation;28.01.25;69,66 €;70,33 €;69,16 €;69,38 €;68,33 €;70,03 €;72,76 €;70,80 €;74,18 €;70,72 €;69,34 €;71,58 €;71,44 €;70,35 €;72,57 €;13,58;0,96%;-0,40%;4,45%;1,52%;2,56%
FRSH;Technology;Software - Application;Bidback;Continuation;28.01.25;19,05 €;19,30 €;18,73 €;18,60 €;18,57 €;19,48 €;18,60 €;18,53 €;19,27 €;18,46 €;17,80 €;18,51 €;18,49 €;18,27 €;18,54 €;13,58;1,31%;-2,36%;-2,36%;-3,10%;-2,94%
HURA;Healthcare;Biotech;Bidback;Bottom Bounce;29.01.25;4,80 €;4,92 €;4,66 €;4,99 €;4,68 €;5,00 €;4,85 €;4,58 €;4,97 €;4,88 €;4,73 €;5,03 €;4,48 €;4,44 €;4,92 €;16,13;2,50%;3,96%;1,04%;1,67%;-6,67%
CORT;Healthcare;Biotech;Bidback;Continuation;30.01.25;68,24 €;66,92 €;65,35 €;66,55 €;64,66 €;67,93 €;66,91 €;65,95 €;67,85 €;68,45 €;66,78 €;69,93 €;68,04 €;67,41 €;69,40 €;14,72;-1,93%;-2,48%;-1,95%;0,31%;-0,29%
